time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-54-47_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.1375632286071777; 'x': 0.012449625879526138; 'z': 0.012054809369146824},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401323; 'x': 41.5194375; 'z': 0.22},{'y': -0.07; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-55-27_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.170000001788,{'y': -3.127746820449829; 'x': 0.008050581440329552; 'z': 0.008893740363419056},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.170000001788,PHYS_2,{'y': -86.2401174; 'x': 41.5194311; 'z': 0.13},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-27_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.170000001788,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.170000001788,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-27_784,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.170000001788,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.170000001788,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-27_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.170000001788,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.170000001788,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-27_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127579689025879; 'x': 0.00804564356803894; 'z': 0.008931183256208897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401174; 'x': 41.5194317; 'z': 0.08},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401172; 'x': 41.5194321; 'z': 0.03},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401172; 'x': 41.5194321; 'z': 0.03},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194321; 'z': 0.03},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194321; 'z': 0.03},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194321; 'z': 0.03},{'y': 0.0; 'x': 0.03; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401169; 'x': 41.5194323; 'z': -0.01},{'y': 0.01; 'x': 0.02; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-28_980,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.127345323562622; 'x': 0.007824145257472992; 'z': 0.008611737750470638},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401169; 'x': 41.5194323; 'z': -0.01},{'y': 0.01; 'x': 0.02; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -3.1270742416381836; 'x': 0.00755186565220356; 'z': 0.008335511200129986},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401169; 'x': 41.5194323; 'z': -0.01},{'y': 0.01; 'x': 0.02; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -3.1270742416381836; 'x': 0.00755186565220356; 'z': 0.008335511200129986},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401169; 'x': 41.5194323; 'z': -0.01},{'y': 0.01; 'x': 0.02; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -3.1270742416381836; 'x': 0.00755186565220356; 'z': 0.008335511200129986},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_880,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.5194326; 'z': -0.03},{'y': 0.02; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-29_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.519433; 'z': -0.06},{'y': 0.01; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.125299632549,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.125299632549,PHYS_2,{'y': -86.2401166; 'x': 41.519433; 'z': -0.06},{'y': 0.01; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.519433; 'z': -0.06},{'y': 0.01; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.519433; 'z': -0.06},{'y': 0.01; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.519433; 'z': -0.06},{'y': 0.01; 'x': 0.01; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.5194332; 'z': -0.03},{'y': 0.01; 'x': 0.0; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1268277168273926; 'x': 0.0073090530931949615; 'z': 0.008077648468315601},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.5194332; 'z': -0.03},{'y': 0.01; 'x': 0.0; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.5194332; 'z': -0.03},{'y': 0.01; 'x': 0.0; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.109999999404,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.109999999404,PHYS_2,{'y': -86.2401166; 'x': 41.5194332; 'z': -0.03},{'y': 0.01; 'x': 0.0; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.102956295013,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.102956295013,PHYS_2,{'y': -86.2401166; 'x': 41.5194332; 'z': -0.03},{'y': 0.01; 'x': 0.0; 'z': 0.0},180,ALT_HOLD
2017_07_18__14-55-30_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.102956295013,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.102956295013,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_080,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.102956295013,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.102956295013,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.102956295013,{'y': -3.1264188289642334; 'x': 0.007128849625587463; 'z': 0.008246204815804958},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.102956295013,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.126204252243042; 'x': 0.0072158332914114; 'z': 0.008678714744746685},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.126204252243042; 'x': 0.0072158332914114; 'z': 0.008678714744746685},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.126204252243042; 'x': 0.0072158332914114; 'z': 0.008678714744746685},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401172; 'x': 41.5194336; 'z': 0.0},{'y': 0.0; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.126204252243042; 'x': 0.0072158332914114; 'z': 0.008678714744746685},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-31_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1259894371032715; 'x': 0.0072768814861774445; 'z': 0.009029672481119633},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.240118; 'x': 41.519434; 'z': 0.0},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_380,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.139283880591,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.139283880591,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_780,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401187; 'x': 41.5194345; 'z': 0.01},{'y': -0.04; 'x': 0.01; 'z': 0.01},180,ALT_HOLD
2017_07_18__14-55-32_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1258656978607178; 'x': 0.00741044245660305; 'z': 0.008940971456468105},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401193; 'x': 41.5194346; 'z': 0.02},{'y': -0.04; 'x': 0.0; 'z': 0.02},180,ALT_HOLD
2017_07_18__14-55-32_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.125654697418213; 'x': 0.006973562762141228; 'z': 0.008829611353576183},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401193; 'x': 41.5194346; 'z': 0.02},{'y': -0.04; 'x': 0.0; 'z': 0.02},180,ALT_HOLD
2017_07_18__14-55-33_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.125654697418213; 'x': 0.006973562762141228; 'z': 0.008829611353576183},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401193; 'x': 41.5194346; 'z': 0.02},{'y': -0.04; 'x': 0.0; 'z': 0.02},180,ALT_HOLD
2017_07_18__14-55-33_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0500000007451,{'y': -3.125654697418213; 'x': 0.006973562762141228; 'z': 0.008829611353576183},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0500000007451,PHYS_2,{'y': -86.2401193; 'x': 41.5194346; 'z': 0.02},{'y': -0.04; 'x': 0.0; 'z': 0.02},180,ALT_HOLD
2017_07_18__14-55-33_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0500000007451,{'y': -3.125654697418213; 'x': 0.006973562762141228; 'z': 0.008829611353576183},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0500000007451,PHYS_2,{'y': -86.2401193; 'x': 41.5194346; 'z': 0.02},{'y': -0.04; 'x': 0.0; 'z': 0.02},180,ALT_HOLD
2017_07_18__14-55-33_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0500000007451,{'y': -3.125654697418213; 'x': 0.006973562762141228; 'z': 0.008829611353576183},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0500000007451,PHYS_2,{'y': -86.2401196; 'x': 41.5194348; 'z': 0.02},{'y': -0.03; 'x': 0.0; 'z': 0.01},180,ALT_HOLD
