time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-20-49_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.104403063655,{'y': -2.980163812637329; 'x': 0.023528529331088066; 'z': 0.0005901278927922249},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.104403063655,PHYS_2,{'y': -86.2401238; 'x': 41.5194205; 'z': 1.44},{'y': 0.02; 'x': 0.1; 'z': 0.01},189,ALT_HOLD
2017_07_18__15-21-03_380,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401188; 'x': 41.5194175; 'z': 1.45},{'y': 0.02; 'x': 0.11; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401188; 'x': 41.5194175; 'z': 1.45},{'y': 0.02; 'x': 0.11; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_580,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401188; 'x': 41.5194175; 'z': 1.45},{'y': 0.02; 'x': 0.11; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_679,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401188; 'x': 41.5194175; 'z': 1.45},{'y': 0.02; 'x': 0.11; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401188; 'x': 41.5194175; 'z': 1.45},{'y': 0.02; 'x': 0.11; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-03_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9745402336120605; 'x': 0.021471554413437843; 'z': 0.0018124282360076904},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_080,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9746296405792236; 'x': 0.021230163052678108; 'z': 0.0017518801614642143},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.9746296405792236; 'x': 0.021230163052678108; 'z': 0.0017518801614642143},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_279,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.184390887618,{'y': -2.9746296405792236; 'x': 0.021230163052678108; 'z': 0.0017518801614642143},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.184390887618,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.184390887618,{'y': -2.9746296405792236; 'x': 0.021230163052678108; 'z': 0.0017518801614642143},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.184390887618,PHYS_2,{'y': -86.2401183; 'x': 41.5194171; 'z': 1.46},{'y': 0.02; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.184390887618,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.184390887618,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_580,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.184390887618,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.184390887618,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_679,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-04_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401179; 'x': 41.5194165; 'z': 1.43},{'y': 0.02; 'x': 0.06; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_080,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -2.974781036376953; 'x': 0.020832045003771782; 'z': 0.0017476733773946762},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401176; 'x': 41.5194156; 'z': 1.42},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -2.9748260974884033; 'x': 0.020103367045521736; 'z': 0.0016568861901760101},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401176; 'x': 41.5194156; 'z': 1.42},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -2.9748260974884033; 'x': 0.020103367045521736; 'z': 0.0016568861901760101},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401176; 'x': 41.5194156; 'z': 1.42},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -2.9748260974884033; 'x': 0.020103367045521736; 'z': 0.0016568861901760101},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_679,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401174; 'x': 41.5194147; 'z': 1.4},{'y': 0.01; 'x': 0.0; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-05_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.9748852252960205; 'x': 0.019603675231337547; 'z': 0.0017121145501732826},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401171; 'x': 41.519414; 'z': 1.39},{'y': 0.01; 'x': -0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401171; 'x': 41.519414; 'z': 1.39},{'y': 0.01; 'x': -0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401171; 'x': 41.519414; 'z': 1.39},{'y': 0.01; 'x': -0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_288,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.145602196455,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.145602196455,PHYS_2,{'y': -86.2401171; 'x': 41.519414; 'z': 1.39},{'y': 0.01; 'x': -0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_380,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401171; 'x': 41.519414; 'z': 1.39},{'y': 0.01; 'x': -0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401167; 'x': 41.5194143; 'z': 1.37},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -2.974989175796509; 'x': 0.019493674859404564; 'z': 0.0016742851585149765},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401167; 'x': 41.5194143; 'z': 1.37},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.9750778675079346; 'x': 0.02073809690773487; 'z': 0.0016556298360228539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401167; 'x': 41.5194143; 'z': 1.37},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.9750778675079346; 'x': 0.02073809690773487; 'z': 0.0016556298360228539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401167; 'x': 41.5194143; 'z': 1.37},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_880,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.9750778675079346; 'x': 0.02073809690773487; 'z': 0.0016556298360228539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401167; 'x': 41.5194143; 'z': 1.37},{'y': 0.02; 'x': 0.02; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-06_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.975123643875122; 'x': 0.021601373329758644; 'z': 0.0017946511507034302},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401164; 'x': 41.5194146; 'z': 1.33},{'y': 0.01; 'x': 0.05; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_080,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -2.975123643875122; 'x': 0.021601373329758644; 'z': 0.0017946511507034302},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401164; 'x': 41.5194146; 'z': 1.33},{'y': 0.01; 'x': 0.05; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -2.975123643875122; 'x': 0.021601373329758644; 'z': 0.0017946511507034302},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401164; 'x': 41.5194146; 'z': 1.33},{'y': 0.01; 'x': 0.05; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -2.975123643875122; 'x': 0.021601373329758644; 'z': 0.0017946511507034302},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401164; 'x': 41.5194146; 'z': 1.33},{'y': 0.01; 'x': 0.05; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0984885767102,{'y': -2.975123643875122; 'x': 0.021601373329758644; 'z': 0.0017946511507034302},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0984885767102,PHYS_2,{'y': -86.2401162; 'x': 41.5194148; 'z': 1.27},{'y': 0.01; 'x': 0.07; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.164924219251,{'y': -2.975172519683838; 'x': 0.02176947332918644; 'z': 0.0018279999494552612},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.164924219251,PHYS_2,{'y': -86.2401162; 'x': 41.5194148; 'z': 1.27},{'y': 0.01; 'x': 0.07; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.164924219251,{'y': -2.975172519683838; 'x': 0.02176947332918644; 'z': 0.0018279999494552612},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.164924219251,PHYS_2,{'y': -86.2401162; 'x': 41.5194148; 'z': 1.27},{'y': 0.01; 'x': 0.07; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.164924219251,{'y': -2.975172519683838; 'x': 0.02176947332918644; 'z': 0.0018279999494552612},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.164924219251,PHYS_2,{'y': -86.240116; 'x': 41.5194152; 'z': 1.25},{'y': 0.01; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.019999999553,{'y': -2.9753170013427734; 'x': 0.022299116477370262; 'z': 0.0018363017588853836},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.019999999553,PHYS_2,{'y': -86.240116; 'x': 41.5194152; 'z': 1.25},{'y': 0.01; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.019999999553,{'y': -2.9753170013427734; 'x': 0.022299116477370262; 'z': 0.0018363017588853836},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.019999999553,PHYS_2,{'y': -86.240116; 'x': 41.5194152; 'z': 1.25},{'y': 0.01; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-07_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.019999999553,{'y': -2.9753170013427734; 'x': 0.022299116477370262; 'z': 0.0018363017588853836},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.019999999553,PHYS_2,{'y': -86.240116; 'x': 41.5194152; 'z': 1.25},{'y': 0.01; 'x': 0.09; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.019999999553,{'y': -2.9753170013427734; 'x': 0.022299116477370262; 'z': 0.0018363017588853836},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.019999999553,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_279,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_580,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-08_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-09_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
2017_07_18__15-21-09_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -2.97548770904541; 'x': 0.022111529484391212; 'z': 0.002379440702497959},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401165; 'x': 41.5194154; 'z': 1.23},{'y': -0.01; 'x': 0.1; 'z': 0.0},189,ALT_HOLD
