time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-01-10_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-34_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0860232487321,{'y': -3.1073906421661377; 'x': 0.008568212389945984; 'z': 0.010665320791304111},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0860232487321,PHYS_2,{'y': -86.2401242; 'x': 41.5194262; 'z': -0.18},{'y': -0.01; 'x': -0.04; 'z': 0.04},181,GUIDED
2017_07_18__15-01-34_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0860232487321,{'y': -3.1073906421661377; 'x': 0.008568212389945984; 'z': 0.010665320791304111},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0860232487321,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0860232487321,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0860232487321,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0860232487321,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0860232487321,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_291,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.15},{'y': -0.01; 'x': -0.03; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.1},{'y': -0.01; 'x': -0.01; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.1},{'y': -0.01; 'x': -0.01; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.129999995232,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.87; 'z': 0.0},False,True,0.129999995232,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.1},{'y': -0.01; 'x': -0.01; 'z': 0.04},181,GUIDED
2017_07_18__15-01-35_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.1},{'y': -0.01; 'x': -0.01; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.240124; 'x': 41.519426; 'z': -0.1},{'y': -0.01; 'x': -0.01; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_191,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.1074209213256836; 'x': 0.008761527016758919; 'z': 0.010549663566052914},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.107377052307129; 'x': 0.009297046810388565; 'z': 0.010140429250895977},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_691,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0670820400119,{'y': -3.107377052307129; 'x': 0.009297046810388565; 'z': 0.010140429250895977},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0670820400119,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0670820400119,{'y': -3.107377052307129; 'x': 0.009297046810388565; 'z': 0.010140429250895977},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0670820400119,PHYS_2,{'y': -86.2401238; 'x': 41.5194258; 'z': -0.08},{'y': -0.01; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-36_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0670820400119,{'y': -3.107377052307129; 'x': 0.009297046810388565; 'z': 0.010140429250895977},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0670820400119,PHYS_2,{'y': -86.2401239; 'x': 41.5194256; 'z': -0.05},{'y': -0.02; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-36_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0670820400119,{'y': -3.107377052307129; 'x': 0.009297046810388565; 'z': 0.010140429250895977},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0670820400119,PHYS_2,{'y': -86.2401239; 'x': 41.5194256; 'z': -0.05},{'y': -0.02; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.151327446103,{'y': -3.1073086261749268; 'x': 0.009206794202327728; 'z': 0.010232225991785526},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.151327446103,PHYS_2,{'y': -86.2401239; 'x': 41.5194256; 'z': -0.05},{'y': -0.02; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_191,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.151327446103,{'y': -3.1073086261749268; 'x': 0.009206794202327728; 'z': 0.010232225991785526},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.151327446103,PHYS_2,{'y': -86.2401239; 'x': 41.5194256; 'z': -0.05},{'y': -0.02; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.151327446103,{'y': -3.1073086261749268; 'x': 0.009206794202327728; 'z': 0.010232225991785526},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.151327446103,PHYS_2,{'y': -86.2401239; 'x': 41.5194256; 'z': -0.05},{'y': -0.02; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.151327446103,{'y': -3.1073086261749268; 'x': 0.009206794202327728; 'z': 0.010232225991785526},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.151327446103,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_591,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-37_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401243; 'x': 41.5194252; 'z': -0.03},{'y': -0.04; 'x': -0.01; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0728010982275,{'y': -3.107290744781494; 'x': 0.009078949689865112; 'z': 0.01049941498786211},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0728010982275,PHYS_2,{'y': -86.2401248; 'x': 41.5194253; 'z': 0.0},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401248; 'x': 41.5194253; 'z': 0.0},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401248; 'x': 41.5194253; 'z': 0.0},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401248; 'x': 41.5194253; 'z': 0.0},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_491,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401248; 'x': 41.5194253; 'z': 0.0},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.120415940881,{'y': -3.1072194576263428; 'x': 0.009528737515211105; 'z': 0.010705393739044666},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.120415940881,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1070947647094727; 'x': 0.009363630786538124; 'z': 0.010859000496566296},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1070947647094727; 'x': 0.009363630786538124; 'z': 0.010859000496566296},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-38_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1070947647094727; 'x': 0.009363630786538124; 'z': 0.010859000496566296},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1070947647094727; 'x': 0.009363630786538124; 'z': 0.010859000496566296},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401253; 'x': 41.5194251; 'z': 0.02},{'y': -0.07; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1070947647094727; 'x': 0.009363630786538124; 'z': 0.010859000496566296},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401255; 'x': 41.5194249; 'z': 0.04},{'y': -0.06; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401255; 'x': 41.5194249; 'z': 0.04},{'y': -0.06; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401255; 'x': 41.5194249; 'z': 0.04},{'y': -0.06; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401255; 'x': 41.5194249; 'z': 0.04},{'y': -0.06; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-39_597,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401256; 'x': 41.5194248; 'z': 0.06},{'y': -0.05; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-39_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401256; 'x': 41.5194248; 'z': 0.06},{'y': -0.05; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-39_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.076157733798,{'y': -3.107107639312744; 'x': 0.009221922606229782; 'z': 0.01068152580410242},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.076157733798,PHYS_2,{'y': -86.2401256; 'x': 41.5194248; 'z': 0.06},{'y': -0.05; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-39_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071455478668213; 'x': 0.009240707382559776; 'z': 0.010250209830701351},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194248; 'z': 0.06},{'y': -0.05; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-39_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071455478668213; 'x': 0.009240707382559776; 'z': 0.010250209830701351},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194248; 'z': 0.06},{'y': -0.05; 'x': 0.0; 'z': 0.04},181,GUIDED
2017_07_18__15-01-40_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071455478668213; 'x': 0.009240707382559776; 'z': 0.010250209830701351},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071455478668213; 'x': 0.009240707382559776; 'z': 0.010250209830701351},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071455478668213; 'x': 0.009240707382559776; 'z': 0.010250209830701351},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_391,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.00999999977648,{'y': -3.1071507930755615; 'x': 0.009190140292048454; 'z': 0.010004588402807713},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.00999999977648,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.10630145669,{'y': -3.1071507930755615; 'x': 0.009190140292048454; 'z': 0.010004588402807713},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10630145669,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.10630145669,{'y': -3.1071507930755615; 'x': 0.009190140292048454; 'z': 0.010004588402807713},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10630145669,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_691,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.10630145669,{'y': -3.1071507930755615; 'x': 0.009190140292048454; 'z': 0.010004588402807713},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10630145669,PHYS_2,{'y': -86.2401256; 'x': 41.5194246; 'z': 0.05},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
2017_07_18__15-01-40_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.10630145669,{'y': -3.1071507930755615; 'x': 0.009190140292048454; 'z': 0.010004588402807713},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10630145669,PHYS_2,{'y': -86.2401258; 'x': 41.5194243; 'z': 0.04},{'y': -0.05; 'x': 0.0; 'z': 0.03},181,GUIDED
